file,nse,orb_num_hex,rec1,rec2,Ls,utc_start
08D601_2018-147T06-05-04,2262,8d6,1270,2098,182.667,2018-05-27 07:50:24
08D601_2018-147T06-05-04,2262,8d6,339,1115,182.652,2018-05-27 07:12:10
08DA01_2018-147T13-56-41,2266,8da,337,1098,182.838,2018-05-27 15:03:35
08DA01_2018-147T13-56-41,2266,8da,1257,2071,182.853,2018-05-27 15:42:11
08E201_2018-148T05-39-41,2274,8e2,337,1066,183.21,2018-05-28 06:46:21
08E201_2018-148T05-39-41,2274,8e2,1229,2006,183.225,2018-05-28 07:25:42
08EC01_2018-149T01-18-38,2284,8ec,335,1036,183.676,2018-05-29 02:24:56
08EC01_2018-149T01-18-38,2284,8ec,1205,1954,183.692,2018-05-29 03:05:04
08EE01_2018-149T05-14-17,2286,8ee,337,1030,183.769,2018-05-29 06:20:36
08EE01_2018-149T05-14-17,2286,8ee,1199,1941,183.785,2018-05-29 07:00:51
08F701_2018-149T22-55-17,2295,8f7,335,1004,184.189,2018-05-30 00:01:23
08F701_2018-149T22-55-17,2295,8f7,1177,1891,184.205,2018-05-30 00:42:15
08FA01_2018-150T04-48-53,2298,8fa,1172,1882,184.345,2018-05-30 06:35:53
08FA01_2018-150T04-48-53,2298,8fa,335,997,184.329,2018-05-30 05:54:53
08FE01_2018-150T12-40-29,2302,8fe,333,983,184.516,2018-05-30 13:46:25
08FE01_2018-150T12-40-29,2302,8fe,1160,1860,184.532,2018-05-30 14:27:41
090001_2018-150T16-36-10,2304,900,333,980,184.609,2018-05-30 17:42:01
090501_2018-151T02-25-37,2309,905,335,975,184.843,2018-05-31 03:31:20
090C01_2018-151T16-10-41,2316,90c,333,959,185.171,2018-05-31 17:16:17
092801_2018-153T23-11-10,2344,928,331,914,186.484,2018-06-03 00:16:26
093401_2018-154T22-45-34,2356,934,329,895,187.049,2018-06-03 23:50:43
093601_2018-155T02-41-23,2358,936,329,897,187.143,2018-06-04 03:46:25
093901_2018-155T08-34-55,2361,939,549,1154,187.302,2018-06-04 10:23:26
094101_2018-156T00-17-55,2369,941,549,1148,187.679,2018-06-05 02:06:35
094501_2018-156T08-09-19,2373,945,549,1143,187.868,2018-06-05 09:58:01
094801_2018-156T14-03-00,2376,948,327,878,187.992,2018-06-05 15:07:58
095101_2018-157T07-43-45,2385,951,549,1136,188.434,2018-06-06 09:32:32
095501_2018-157T15-35-18,2389,955,551,1141,188.624,2018-06-06 17:24:08
095801_2018-157T21-28-48,2392,958,327,868,188.748,2018-06-06 22:33:42
096101_2018-158T15-09-43,2401,961,549,1134,189.191,2018-06-07 16:58:36
096601_2018-159T00-59-00,2406,966,325,864,189.411,2018-06-08 02:03:51
097001_2018-159T20-37-38,2416,970,325,865,189.885,2018-06-08 21:42:25
097301_2018-160T02-31-19,2419,973,549,1129,190.045,2018-06-09 04:20:15
