#                   file   nse gr rec1 rec2     id1     id2  n_avr a_max a  m  f  g asun_sca asmi_sca pro_sca asun_sol asmi_sol pro_sol      Ls      obs      ifg               utc_start
#                      1     2  3    4    5       6       7      8     910 11 12 13       14       15      16       17       18      19      20       21       22                      23
07C601_2018-124T23-03-34  1990  2  339 1194 1595379 1596234  27348 12803 1  5  4  2  145.129  145.058   0.000    0.867    0.856 100.000 170.227 OCC_SOL  SHORT    2018-MAY-05-00:11:22.90
07C601_2018-124T23-03-34  1990  4 1307 2114 1597132 1597939  27348 12822 1  5  4  2  145.134  145.131   0.000    0.872    0.871 100.000 170.239 OCC_SOL  SHORT    2018-MAY-05-00:43:16.97
089401_2018-141T20-23-04  2196  3  327 1467 2569545 2570685  27415 18015 1  5  4  2  145.277  145.274   0.000    0.432    0.430 100.000 179.598 OCC_SOL  SHORT    2018-MAY-21-21:34:30.55
089401_2018-141T20-23-04  2196  5 1524 2711 2571142 2572329  27412 18005 1  5  4  2  145.278  145.276   0.000    0.438    0.437 100.000 179.608 OCC_SOL  SHORT    2018-MAY-21-21:59:41.74
089701_2018-142T02-16-47  2199  3  325 1397 2583931 2585003  27413 18023 1  5  4  2  145.277  145.274   0.000    0.432    0.430 100.000 179.736 OCC_SOL  SHORT    2018-MAY-22-03:27:56.90
089701_2018-142T02-16-47  2199  5 1462 2581 2585518 2586637  27416 18023 1  5  4  2  145.275  145.188   0.000    0.438    0.437 100.000 179.746 OCC_SOL  SHORT    2018-MAY-22-03:54:16.66
089D01_2018-142T14-04-24  2205  3  323 1290 2611231 2612198  27416 18065 1  5  4  2  145.277  145.274   0.000    0.432    0.430 100.000 180.012 OCC_SOL  SHORT    2018-MAY-22-15:14:54.54
089D01_2018-142T14-04-24  2205  5 1369 2383 2612836 2613850  27415 18055 1  5  4  2  145.278  145.271   0.000    0.438    0.435 100.000 180.024 OCC_SOL  SHORT    2018-MAY-22-15:43:20.66
08A001_2018-142T19-58-15  2208  3  321 1278 2625388 2626317  27415 18059 1  5  4  2  145.277  145.275   0.000    0.432    0.430 100.000 180.151 OCC_SOL  SHORT    2018-MAY-22-21:08:32.77
08A001_2018-142T19-58-15  2208  5 1363 2337 2626991 2627965  27413 18067 1  5  4  2  145.189  145.102   0.000    0.438    0.438 100.000 180.162 OCC_SOL  SHORT    2018-MAY-22-21:37:47.87
08A401_2018-143T03-49-53  2212  3  319 1201 2643807 2644689  27417 18034 1  5  4  2  145.277  145.274   0.000    0.432    0.430 100.000 180.335 OCC_SOL  SHORT    2018-MAY-23-04:59:48.51
08A401_2018-143T03-49-53  2212  5 1292 2215 2645415 2646338  27424 18090 1  5  4  2  145.277  145.274   0.000    0.438    0.437 100.000 180.347 OCC_SOL  SHORT    2018-MAY-23-05:30:07.58
08D601_2018-147T06-05-04  2262  3  339 1115   37276   38052  26314 15882 1  5  4  2  145.276  145.274   0.000    0.431    0.430 100.000 182.652 OCC_SOL  SHORT    2018-MAY-27-07:12:10.62
08D601_2018-147T06-05-04  2262  5 1270 2098   39296   40124  26325 15956 1  5  4  2  145.627  145.625   0.000    0.438    0.436 100.000 182.667 OCC_SOL  SHORT    2018-MAY-27-07:50:24.56
08DA01_2018-147T13-56-41  2266  3  337 1098   57422   58183  26316 16030 1  5  4  2  145.275  145.273   0.000    0.431    0.429 100.000 182.838 OCC_SOL  SHORT    2018-MAY-27-15:03:35.60
08DA01_2018-147T13-56-41  2266  5 1257 2071   59449   60263  26319 15915 1  5  4  2  145.368  145.360   0.000    0.438    0.436 100.000 182.853 OCC_SOL  SHORT    2018-MAY-27-15:42:11.64
08E201_2018-148T05-39-41  2274  3  337 1066   96419   97148  26319 16117 1  5  4  2  145.290  145.272   0.000    0.431    0.429 100.000 183.210 OCC_SOL  SHORT    2018-MAY-28-06:46:21.75
08E201_2018-148T05-39-41  2274  5 1229 2006   98446   99223  26332 16221 1  5  4  2  145.539  145.536   0.000    0.438    0.436 100.000 183.225 OCC_SOL  SHORT    2018-MAY-28-07:25:42.52
08EC01_2018-149T01-18-38  2284  3  335 1036  146177  146878  26318 16178 1  5  4  2  145.363  145.356   0.000    0.431    0.427 100.000 183.676 OCC_SOL  SHORT    2018-MAY-29-02:24:56.55
08EC01_2018-149T01-18-38  2284  5 1205 1954  148224  148973  26321 16061 1  5  4  2  145.188  145.185   0.000    0.438    0.436 100.000 183.692 OCC_SOL  SHORT    2018-MAY-29-03:05:04.55
08EE01_2018-149T05-14-17  2286  3  337 1030  156639  157332  26320 16265 1  5  4  2  145.276  145.270   0.000    0.431    0.427 100.000 183.769 OCC_SOL  SHORT    2018-MAY-29-06:20:36.56
08EE01_2018-149T05-14-17  2286  5 1199 1941  158692  159434  26322 16373 1  5  4  2  145.275  145.269   0.000    0.438    0.435 100.000 183.785 OCC_SOL  SHORT    2018-MAY-29-07:00:51.54
08F701_2018-149T22-55-17  2295  3  335 1004  200237  200906  26329 16317 1  5  4  2  145.199  145.186   0.000    0.431    0.429 100.000 184.189 OCC_SOL  SHORT    2018-MAY-30-00:01:23.61
08F701_2018-149T22-55-17  2295  5 1177 1891  202299  203013  26341 16379 1  5  4  2  145.451  145.448   0.000    0.438    0.436 100.000 184.205 OCC_SOL  SHORT    2018-MAY-30-00:42:15.58
08FA01_2018-150T04-48-53  2298  3  335  997  215511  216173  26325 16289 1  5  4  2  145.451  145.449   0.000    0.431    0.429 100.000 184.329 OCC_SOL  SHORT    2018-MAY-30-05:54:53.61
08FA01_2018-150T04-48-53  2298  5 1172 1882  217567  218277  26325 16170 1  5  4  2  145.275  145.272   0.000    0.438    0.435 100.000 184.345 OCC_SOL  SHORT    2018-MAY-30-06:35:53.52
08FE01_2018-150T12-40-29  2302  3  333  983  235606  236256  26323 16276 1  5  4  2  145.275  145.274   0.000    0.431    0.430 100.000 184.516 OCC_SOL  SHORT    2018-MAY-30-13:46:25.75
08FE01_2018-150T12-40-29  2302  5 1160 1860  237665  238365  26332 16314 1  5  4  2  145.275  145.269   0.000    0.438    0.434 100.000 184.532 OCC_SOL  SHORT    2018-MAY-30-14:27:41.63
090001_2018-150T16-36-10  2304  3  333  980  246021  246668  26325 16281 1  5  4  2  145.275  145.272   0.000    0.430    0.429 100.000 184.609 OCC_SOL  SHORT    2018-MAY-30-17:42:01.61
090501_2018-151T02-25-37  2309  3  335  975  270222  270862  26321 16261 1  5  4  2  145.349  145.273   0.000    0.430    0.430 100.000 184.843 OCC_SOL  SHORT    2018-MAY-31-03:31:20.58
090C01_2018-151T16-10-41  2316  3  333  959  303710  304336  26326 16345 1  5  4  2  145.207  145.185   0.000    0.430    0.429 100.000 185.171 OCC_SOL  SHORT    2018-MAY-31-17:16:17.55
092801_2018-153T23-11-10  2344  3  331  914   18577   19160  26317 16208 1  5  4  2  145.418  145.361   0.000    0.430    0.429 100.000 186.484 OCC_SOL  SHORT    2018-JUN-03-00:16:26.53
093401_2018-154T22-45-34  2356  3  329  895   76848   77414  26382 16418 1  5  4  2  145.274  145.272   0.000    0.430    0.429 100.000 187.049 OCC_SOL  SHORT    2018-JUN-03-23:50:43.68
093601_2018-155T02-41-23  2358  3  329  897   86760   87328  26387 16498 1  5  4  2  145.274  145.271   0.000    0.430    0.428 100.000 187.143 OCC_SOL  SHORT    2018-JUN-04-03:46:25.71
093901_2018-155T08-34-55  2361  2  549 1154  103252  103857  26392 16475 1  5  4  2  145.369  145.358   0.000    0.438    0.435 100.000 187.302 OCC_SOL  SHORT    2018-JUN-04-10:23:26.47
094101_2018-156T00-17-55  2369  2  549 1148  142353  142952  26410 16622 1  5  4  2  145.187  145.183   0.000    0.438    0.435 100.000 187.679 OCC_SOL  SHORT    2018-JUN-05-02:06:35.77
094501_2018-156T08-09-19  2373  2  549 1143  161818  162412  26405 16708 1  5  4  2  145.186  145.183   0.000    0.438    0.435 100.000 187.868 OCC_SOL  SHORT    2018-JUN-05-09:58:01.55
094801_2018-156T14-03-00  2376  3  327  878  174765  175316  26396 16505 1  5  4  2  145.279  145.272   0.000    0.430    0.429 100.000 187.992 OCC_SOL  SHORT    2018-JUN-05-15:07:58.70
095101_2018-157T07-43-45  2385  2  549 1136  220558  221145  26400 16543 1  5  4  2  145.186  145.182   0.000    0.438    0.435 100.000 188.434 OCC_SOL  SHORT    2018-JUN-06-09:32:32.71
095501_2018-157T15-35-18  2389  2  551 1141  240059  240649  26397 16484 1  5  4  2  145.274  145.271   0.000    0.438    0.435 100.000 188.624 OCC_SOL  SHORT    2018-JUN-06-17:24:08.71
095801_2018-157T21-28-48  2392  3  327  868  252987  253528  26399 16544 1  5  4  2  145.190  145.184   0.000    0.430    0.429 100.000 188.748 OCC_SOL  SHORT    2018-JUN-06-22:33:42.73
096101_2018-158T15-09-43  2401  2  549 1134  298824  299409  26401 16642 1  5  4  2  145.254  145.183   0.000    0.437    0.435 100.000 189.191 OCC_SOL  SHORT    2018-JUN-07-16:58:36.62
096601_2018-159T00-59-00  2406  3  325  864  321309  321848  26401 16653 1  5  4  2  145.627  145.623   0.000    0.430    0.429 100.000 189.411 OCC_SOL  SHORT    2018-JUN-08-02:03:51.69
097001_2018-159T20-37-38  2416  3  325  865  369686  370226  26398 16588 1  5  4  2  145.098  145.096   0.000    0.430    0.429 100.000 189.885 OCC_SOL  SHORT    2018-JUN-08-21:42:25.43
097301_2018-160T02-31-19  2419  2  549 1129  386132  386712  26399 16637 1  5  4  2  145.274  145.270   0.000    0.437    0.435 100.000 190.045 OCC_SOL  SHORT    2018-JUN-09-04:20:15.72
098101_2018-161T06-01-29  2433  2  553 1135   39431   40013  26334 16327 1  5  4  2  145.273  145.269   0.000    0.437    0.435 100.000 190.710 OCC_SOL  SHORT    2018-JUN-10-07:50:21.61
098401_2018-161T11-54-59  2436  3  329  870   52415   52956  26333 16367 1  5  4  2  145.275  145.272   0.000    0.430    0.429 100.000 190.835 OCC_SOL  SHORT    2018-JUN-10-12:59:47.54
098801_2018-161T19-46-28  2440  3  329  870   72014   72555  26331 16420 1  5  4  2  145.276  145.272   0.000    0.430    0.429 100.000 191.025 OCC_SOL  SHORT    2018-JUN-10-20:51:15.56
099001_2018-162T11-29-19  2448  3  329  872  111187  111730  26331 16506 1  5  4  2  145.273  145.271   0.000    0.430    0.429 100.000 191.406 OCC_SOL  SHORT    2018-JUN-11-12:34:09.58
099301_2018-162T17-22-59  2451  2  555 1144  127764  128353  26331 16556 1  5  4  2  145.274  145.270   0.000    0.437    0.435 100.000 191.567 OCC_SOL  SHORT    2018-JUN-11-19:11:50.58
09D301_2018-167T23-06-16  2515  2 1709 2354   64689   65334  26320 16474 1  5  4  2  145.272  145.268   0.000    0.437    0.434 100.000 194.630 OCC_SOL  SHORT    2018-JUN-17-00:54:11.46
09D601_2018-168T04-59-56  2518  3 1027 1629  104110  104712  26324 16475 1  5  4  2  145.273  145.270   0.000    0.430    0.429 100.000 194.757 OCC_SOL  SHORT    2018-JUN-17-06:05:27.57
09D801_2018-168T08-55-42  2520  3 1031 1638  133884  134491  26324 16479 1  5  4  2  145.202  145.183   0.000    0.430    0.429 100.000 194.853 OCC_SOL  SHORT    2018-JUN-17-10:01:09.53
09DE01_2018-168T20-42-52  2526  3 1037 1653  223019  223635  26325 16543 1  5  4  2  145.273  145.271   0.000    0.430    0.429 100.000 195.142 OCC_SOL  SHORT    2018-JUN-17-21:48:29.60
09E201_2018-169T04-34-18  2530  3 1035 1656  282795  283416  26327 16748 1  5  4  2  145.273  145.271   0.000    0.430    0.429 100.000 195.334 OCC_SOL  SHORT    2018-JUN-18-05:40:02.63
09FC01_2018-171T07-38-51  2556  3 1045 1728  668912  669595  26341 16936 1  5  4  2  145.704  145.622   0.000    0.430    0.429 100.000 196.588 OCC_SOL  SHORT    2018-JUN-20-08:45:07.63
09FC01_2018-171T07-38-51  2556  5 2253 2987  673802  674536  26341 16901 1  5  4  2  145.624  145.619   0.000    0.436    0.434 100.000 196.604 OCC_SOL  SHORT    2018-JUN-20-09:25:28.62
0A0601_2018-172T03-17-26  2566  3 1043 1755  817394  818106  26340 16922 1  5  4  2  145.360  145.358   0.000    0.430    0.428 100.000 197.071 OCC_SOL  SHORT    2018-JUN-21-04:24:01.64
0A0601_2018-172T03-17-26  2566  5 2266 3031  822193  822958  26339 16906 1  5  4  2  145.184  145.180   0.000    0.436    0.434 100.000 197.088 OCC_SOL  SHORT    2018-JUN-21-05:03:36.55
